Point,CPD (mV),WFRA (mV),WFDel (mV),Std WF,GD (au),Std GD,Z Height (um),User,Time(Secs),,
240,-42.2,-39.7,-3.4,2.5,286.6,0.1,0.00,1.3,99.465,,
241,-43.5,-41.0,-4.6,2.5,286.7,0.1,0.00,1.4,99.886,,
242,-39.0,-41.6,-0.2,2.5,286.6,0.1,0.00,1.3,100.308,,
243,-39.0,-40.5,-0.2,2.5,286.7,0.1,0.00,0.1,100.729,,
244,-40.8,-39.6,-1.9,2.5,286.7,0.1,0.00,0.9,101.150,,
245,-41.7,-40.5,-2.8,2.5,286.6,0.1,0.00,1.3,101.556,,
246,-36.2,-39.6,2.6,2.5,286.5,0.1,0.00,1.4,101.977,,
247,-38.0,-38.6,0.9,2.5,286.5,0.1,0.00,-0.6,102.398,,
248,-38.3,-37.5,0.5,2.5,286.5,0.1,0.00,0.6,102.819,,
249,-38.5,-38.3,0.3,2.5,286.5,0.1,0.00,1.3,103.225,,
250,-38.0,-38.3,0.9,2.5,286.5,0.1,0.00,1.3,103.646,,
251,-41.5,-39.3,-2.7,2.5,286.6,0.1,0.00,1.4,104.067,,
252,-38.5,-39.3,0.3,2.5,286.5,0.1,0.00,0.3,104.488,,
253,-36.7,-38.9,2.1,2.5,286.6,0.1,0.00,1.0,104.910,,
254,-39.7,-38.3,-0.9,2.5,286.8,0.1,0.00,1.3,105.315,,
255,-39.4,-38.6,-0.6,2.5,286.5,0.1,0.00,1.3,105.736,,
256,-39.7,-39.6,-0.9,2.5,286.6,0.1,0.00,1.4,106.158,,
257,-37.8,-39.0,1.1,2.5,286.5,0.1,0.00,0.8,106.579,,
258,-32.6,-36.7,6.2,2.5,286.7,0.1,0.00,1.3,106.984,,
259,-41.2,-37.2,-2.3,2.5,286.5,0.1,0.00,1.3,107.406,,
260,-37.3,-37.0,1.6,2.5,286.5,0.1,0.00,1.3,107.827,,
261,-37.1,-38.5,1.8,2.5,286.7,0.1,0.00,0.4,108.248,,
262,-36.9,-37.1,1.9,2.5,286.6,0.1,0.00,1.3,108.654,,
263,-36.7,-36.9,2.1,2.5,286.6,0.1,0.00,1.3,109.075,,
264,-42.2,-38.6,-3.4,2.5,286.6,0.1,0.00,1.2,109.496,,
265,-44.4,-41.1,-5.5,2.5,286.6,0.1,0.00,-0.3,109.917,,
266,-42.8,-43.1,-3.9,2.5,286.6,0.1,0.00,0.8,110.338,,
267,-36.2,-41.1,2.7,2.5,286.7,0.1,0.00,1.3,110.744,,
268,-41.3,-40.1,-2.5,2.5,286.7,0.1,0.00,1.3,111.165,,
269,-42.6,-40.0,-3.7,2.5,286.5,0.1,0.00,1.3,111.586,,
270,-37.5,-40.5,1.4,2.5,286.5,0.1,0.00,0.4,112.008,,
271,-32.3,-37.4,6.6,2.5,286.8,0.1,0.00,1.3,112.413,,
272,-36.9,-35.6,1.9,2.5,286.5,0.1,0.00,1.3,112.834,,
273,-37.8,-35.7,1.1,2.5,286.6,0.1,0.00,1.3,113.256,,
274,-44.4,-39.7,-5.5,2.5,286.5,0.1,0.00,-0.1,113.677,,
275,-37.4,-39.9,1.4,2.6,286.6,0.1,0.00,0.8,114.098,,
276,-37.2,-39.7,1.6,2.5,286.8,0.1,0.00,1.3,114.504,,
277,-44.2,-39.6,-5.3,2.5,286.5,0.1,0.00,1.3,114.925,,
278,-42.9,-41.5,-4.1,2.6,286.8,0.1,0.00,1.3,115.346,,
279,-38.7,-41.9,0.2,2.6,286.6,0.1,0.00,0.8,115.767,,
280,-34.5,-38.7,4.4,2.6,286.3,0.1,0.00,1.3,116.173,,
281,-35.7,-36.3,3.2,2.6,286.7,0.1,0.00,1.3,116.594,,
282,-37.6,-35.9,1.2,2.6,286.4,0.1,0.00,1.3,117.015,,
283,-39.4,-37.6,-0.5,2.6,286.6,0.1,0.00,-0.1,117.436,,
284,-41.9,-39.6,-3.0,2.6,286.6,0.1,0.00,0.9,117.858,,
285,-33.0,-38.1,5.8,2.6,286.3,0.1,0.00,1.3,118.263,,
286,-34.8,-36.6,4.1,2.6,286.6,0.1,0.00,1.4,118.684,,
287,-33.9,-33.9,5.0,2.6,286.5,0.1,0.00,1.4,119.106,,
288,-43.0,-37.2,-4.1,2.6,286.3,0.1,0.00,0.7,119.527,,
289,-39.8,-38.9,-0.9,2.6,286.3,0.1,0.00,1.3,119.932,,
